llm_type,query_type,query,spec_type,generated_params,scores,eval_times
gpt-4o,explicit,I need the weather forecast in Paris for this week. Include information about high tides as well.,full,"{'q': 'Paris', 'days': '7', 'tides': 'yes'}",100.0,0.8926565647125244
gpt-4o,explicit,I’m planning to visit Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York in NYC. Please display the prices in SEK (Swedish Krona).,full,"{'restaurantsId': 'Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York', 'currencyCode': 'SEK'}",100.0,1.1948933601379395
gpt-4o,explicit,Give me the date of when artist with ID 2uFUBdaVGtyMqckSeCl0Qj released their album Experience.,full,"{""artistId"": ""2uFUBdaVGtyMqckSeCl0Qj"", ""type"": ""album""}",100.0,0.8500237464904785
gpt-4o,explicit,When did artist with ID=2uFUBdaVGtyMqckSeCl0Qj release their single Night?,full,"{'artistId': '2uFUBdaVGtyMqckSeCl0Qj', 'type': 'single'}",100.0,0.9654409885406494
gpt-4o,explicit,Give me the date that user sparklemilktea joined Instagram.,full,"{""username_or_id_or_url"": ""sparklemilktea"", ""include_about"": ""true""}",100.0,0.9251101016998291
gpt-4o,explicit,Give me at least 20 followers of the user sparklemilktea.,full,"{""username_or_id_or_url"": ""sparklemilktea"", ""amount"": ""20""}",100.0,0.8158445358276367
gpt-4o,explicit,Give me at least 20 people that the user sparklemilktea follows.,full,"{'username_or_id_or_url': 'sparklemilktea', 'amount': '20'}",100.0,1.1811017990112305
gpt-4o,explicit,Show me posts by kiyomi_bori and provide the HTML code to embed them.,full,"{'username_or_id_or_url': 'kiyomi_bori', 'url_embed_safe': 'true'}",100.0,1.1709649562835693
gpt-4o,explicit,Search for the user kiyomi_bori and provide an embeddable profile link.,full,"{""search_query"": ""kiyomi_bori"", ""url_embed_safe"": ""true""}",100.0,0.9944651126861572
gpt-4o,explicit,Give me the last 10 quarterly balance sheets for MSFT from the 10-Q filings.,full,"{'ticker': 'MSFT', 'formtype': '10-Q', 'filingorder': '0'}",100.0,0.9393899440765381
gpt-4o,ambiguous,"What's the weather in London today? I don't know if I can go out this afternoon with my allergies, they get bad with the air quality",full,"{""q"": ""London"", ""dt"": ""2023-10-17"", ""aqi"": ""yes""}",66.66666666666667,0.9858698844909668
gpt-4o,ambiguous,I need an affordable flight for today's date from JFK airport to Seoul for my husband and I,full,"{'fromId': 'JFK.AIRPORT', 'toId': 'ICN.AIRPORT', 'departDate': '2023-10-13', 'adults': '2'}",86.0,1.2781703472137451
gpt-4o,ambiguous,"My wife, newborn, and I need to visit her parents in Seoul. We're leaving from NYC.",full,"{'originSkyId': 'NYC_sky_id', 'destinationSkyId': 'SEL_sky_id', 'originEntityId': 'NYC_entity_id', 'destinationEntityId': 'SEL_entity_id', 'date': '2023-11-01', 'adults': '2', 'infants': '1'}",77.5,1.8962626457214355
gpt-4o,ambiguous,"I need flights from NYC but I can't understand English, I speak Spanish.",full,"{""query"": ""NYC"", ""locale"": ""es""}",100.0,0.7963907718658447
gpt-4o,ambiguous,I need a hotel for my husband and I in NYC. We'll be staying from today until next Friday.,full,"{'geoId': 'NYC', 'checkIn': '2023-10-06', 'checkOut': '2023-10-13', 'adults': '2'}",86.0,1.1335422992706299
gpt-4o,ambiguous,My coworker and I need a separate room for our business trip. We'll be in NYC from the 16th to the 20th.,full,"{'geoId': 'NYC', 'checkIn': '2023-11-16', 'checkOut': '2023-11-20', 'rooms': '2'}",76.66666666666667,1.2692172527313232
gpt-4o,ambiguous,I've heard about climate issues in Ireland. Any recent news?,full,"{""query"": ""climate"", ""region"": ""IE""}",76.66666666666667,0.7010540962219238
gpt-4o,ambiguous,"I need to find the contact info of the hotel I stayed at in Boston, but I think it's closed down now.",full,"{'query': 'hotel', 'lat': '42.3601', 'lng': '-71.0589', 'business_status': 'CLOSED', 'extract_emails_and_contacts': 'true'}",80.0,1.2215795516967773
gpt-4o,ambiguous,I need to see what people are saying about this business with id=0x89c259b5a9bd152b:0x31453e62a3be9f76 in Ireland.,full,"{""business_id"": ""0x89c259b5a9bd152b:0x31453e62a3be9f76"", ""region"": ""ie""}",100.0,0.897369384765625
gpt-4o,ambiguous,What’s 1.7777 - 2.9057345 rounded to five decimals?,full,"{'numbers': '1.7777 - 2.9057345', 'decimalPlaces': '5'}",100.0,0.8002703189849854
gpt-4o,ambiguous,I want to buy a brand new Tamagotchi for my niece. Are there any on sale in the UK?,full,"{""q"": ""Tamagotchi"", ""country"": ""gb"", ""product_condition"": ""NEW"", ""on_sale"": ""true""}",100.0,1.059596300125122
gpt-4o,ambiguous,"I want to buy a brand new Tamagotchi for my son, but my budget is $20.",full,"{'q': 'Tamagotchi', 'max_price': '20', 'product_condition': 'NEW'}",100.0,0.9941787719726562
gpt-4o,ambiguous,"Show me reviews for this productwith ID=11577822456427762145, but I speak Spanish.",full,"{'product_id': '11577822456427762145', 'language': 'es'}",76.66666666666667,0.8483147621154785
gpt-4o,ambiguous,I'm looking for offers on product with ID=11577822456427762145. I'm from the US but want to send the offers to my mom who speaks Spanish.,full,"{""product_id"": ""11577822456427762145"", ""country"": ""us"", ""language"": ""es""}",100.0,0.7335741519927979
gpt-4o,ambiguous,Can you tell me about product ID=11577822456427762145 available in Korea? I can only speak English though.,full,"{'q': '11577822456427762145', 'country': 'us', 'language': 'en'}",66.66666666666667,1.336118459701538
gpt-4o,ambiguous,I'm in Paris for the week and want to visit the beach. What does the weather look like this week and should I worry about high tides?,full,"{'q': 'Paris', 'days': '7', 'tides': 'yes'}",100.0,1.9066784381866455
gpt-4o,ambiguous,I want to visit Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York but I'm from Sweden so I don't know how much the prices are.,full,"{'restaurantsId': 'Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York', 'currencyCode': 'SEK'}",100.0,1.3534557819366455
gpt-4o,ambiguous,When did artist with ID=2uFUBdaVGtyMqckSeCl0Qj come out with his album Experience?,full,"{""artistId"": ""2uFUBdaVGtyMqckSeCl0Qj"", ""type"": ""album""}",100.0,1.249011754989624
gpt-4o,ambiguous,When did artist with ID=2uFUBdaVGtyMqckSeCl0Qj come out with his song Night?,full,"{""artistId"": ""2uFUBdaVGtyMqckSeCl0Qj"", ""type"": ""single""}",100.0,3.0609548091888428
gpt-4o,ambiguous,When did sparklemilktea join Instagram?,full,"{""username_or_id_or_url"": ""sparklemilktea"", ""include_about"": ""true""}",100.0,0.8309881687164307
gpt-4o,ambiguous,Can you tell me the top 20 followers of sparklemilktea?,full,"{'username_or_id_or_url': 'sparklemilktea', 'amount': '20'}",100.0,0.8176653385162354
gpt-4o,ambiguous,Can you tell me the top 20 people who sparklemilktea follows?,full,"{'username_or_id_or_url': 'sparklemilktea', 'amount': '20'}",100.0,1.0245587825775146
gpt-4o,ambiguous,Can you get posts by kiyomi_bori and make them embeddable for my website?,full,"{""username_or_id_or_url"": ""kiyomi_bori"", ""url_embed_safe"": ""true""}",100.0,0.8758130073547363
gpt-4o,ambiguous,Find kiyomi_bori's profile so I can embed it.,full,"{""search_query"": ""kiyomi_bori"", ""url_embed_safe"": ""true""}",100.0,0.8003368377685547
gpt-4o,ambiguous,Show me the last 10 quarterly reports for MSFT.,full,"{""ticker"": ""MSFT"", ""formtype"": ""10-Q"", ""filingorder"": ""9""}",100.0,0.7870311737060547
gpt-4o,vague,Is it a good idea to go out in London today?,full,{'q': 'London'},53.333333333333336,0.9572920799255371
gpt-4o,vague,Can I get a good flight deal from New York to South Korea today?,full,"{'fromId': 'JFK.AIRPORT', 'toId': 'ICN.AIRPORT', 'departDate': '2023-10-05'}",72.0,1.1337661743164062
gpt-4o,vague,Looking for a way to get my family to Seoul.,full,"{'originSkyId': 'YOUR_ORIGIN_SKY_ID', 'destinationSkyId': 'SEOUL_SKY_ID', 'originEntityId': 'YOUR_ORIGIN_ENTITY_ID', 'destinationEntityId': 'SEOUL_ENTITY_ID', 'date': 'YYYY-MM-DD', 'adults': '2', 'children': '2', 'cabinClass': 'economy'}",44.99999999999999,1.755195140838623
gpt-4o,vague,Help me find flights from NYC in a language I understand.,full,"{""query"": ""NYC"", ""locale"": ""en""}",100.0,0.7401764392852783
gpt-4o,vague,We need a hotel in New York for a few days.,full,"{'geoId': 'New York', 'checkIn': '2023-12-01', 'checkOut': '2023-12-05'}",72.0,1.3367400169372559
gpt-4o,vague,We're looking for a place to stay in NYC for a work trip.,full,"{""geoId"": ""NYC"", ""checkIn"": ""2023-11-01"", ""checkOut"": ""2023-11-05""}",65.0,0.9925441741943359
gpt-4o,vague,What’s happening to Ireland?,full,"{""query"": ""Ireland"", ""language"": ""en"", ""region"": ""IE""}",100.0,0.8280718326568604
gpt-4o,vague,Need info on a hotel in Boston that might not be open.,full,"{""query"": ""hotel in Boston"", ""business_status"": ""CLOSED_TEMPORARILY,CLOSED""}",76.66666666666667,0.8456969261169434
gpt-4o,vague,What's going on with this business with id=0x89c259b5a9bd152b:0x31453e62a3be9f76 in Ireland?,full,"{""business_id"": ""0x89c259b5a9bd152b:0x31453e62a3be9f76"", ""region"": ""ie""}",100.0,0.9754486083984375
gpt-4o,vague,Solve 1.7777 - 2.9057345 with rounding.,full,"{'numbers': '1.7777 - 2.9057345', 'decimalPlaces': '2'}",100.0,1.1045951843261719
gpt-4o,vague,I’m looking for a Tamagotchi in the UK.,full,"{'q': 'Tamagotchi', 'country': 'gb'}",65.0,0.8615343570709229
gpt-4o,vague,I need a Tamagotchi for my son that is not too expensive.,full,"{'q': 'Tamagotchi', 'country': 'us', 'language': 'en', 'sort_by': 'LOWEST_PRICE'}",23.333333333333343,1.1755452156066895
gpt-4o,vague,Que piensa la gente sobre este producto con ID=11577822456427762145?,full,"{""product_id"": ""11577822456427762145""}",53.333333333333336,0.6875405311584473
gpt-4o,vague,Show me the best deals for this product with ID=11577822456427762145 but I can't speak English.,full,"{""product_id"": ""11577822456427762145"", ""language"": ""es""}",76.66666666666667,0.8008387088775635
gpt-4o,vague,I want to know more about this product with ID=11577822456427762145 in Korea.,full,"{'q': '11577822456427762145', 'country': 'us', 'language': 'en'}",66.66666666666667,1.0191326141357422
gpt-4o,vague,Is it a good time to go to the beach in Paris this week?,full,"{""q"": ""Paris"", ""days"": ""7"", ""aqi"": ""yes""}",66.66666666666667,1.0104644298553467
gpt-4o,vague,Give me details about Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.,full,"{""restaurantsId"": ""Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York""}",65.0,0.8982670307159424
gpt-4o,vague,When did this artist with ID=2uFUBdaVGtyMqckSeCl0Qj release Experience?,full,"{""artistId"": ""2uFUBdaVGtyMqckSeCl0Qj"", ""type"": ""album""}",100.0,1.3214209079742432
gpt-4o,vague,When did this artist with ID=2uFUBdaVGtyMqckSeCl0Qj release Night?,full,"{""artistId"": ""2uFUBdaVGtyMqckSeCl0Qj""}",65.0,0.7796571254730225
gpt-4o,vague,When did sparklemilktea start using Instagram?,full,"{""username_or_id_or_url"": ""sparklemilktea"", ""include_about"": ""true""}",100.0,0.7774069309234619
gpt-4o,vague,Who are some followers of sparklemilktea?,full,"{""username_or_id_or_url"": ""sparklemilktea""}",65.0,0.8136467933654785
gpt-4o,vague,Can you list some people who sparklemilktea follows?,full,"{""username_or_id_or_url"": ""sparklemilktea""}",65.0,1.1949996948242188
gpt-4o,vague,I want to see posts by kiyomi_bori to put on my website.,full,"{""username_or_id_or_url"": ""kiyomi_bori"", ""url_embed_safe"": ""true""}",100.0,1.0094449520111084
gpt-4o,vague,I want to see kiyomi_bori to put on my website.,full,"{""search_query"": ""kiyomi_bori"", ""url_embed_safe"": ""true""}",100.0,0.8646926879882812
gpt-4o,vague,Give me MSFT’s latest financial reports.,full,{'ticker': 'MSFT'},53.333333333333336,0.7570369243621826
