llm_type,query_type,query,spec_type,generated_params,ground_truth,precision,recall,hallucination_count,eval_times
mistral,ambiguous,"I need flights from NYC but I can't understand English, I speak Spanish.",full,"{""query"":""NYC"",""locale"":""es-ES""}","{'query': 'NYC', 'locale': 'es-MX'}",1.0,,0,0.6560320854187012
mistral,vague,Help me find flights from NYC in a language I understand.,full,"{""query"":""NYC"",""locale"":""en-US""}","{'query': 'NYC', 'locale': 'es-MX'}",1.0,,0,0.6114053726196289
mistral,explicit,"Find a hotel in New York City (NYC) for two adults, checking in today and checking out next Friday. Display prices in USD.",full,"{""geoId"":""g60763"",""checkIn"":""2023-10-05"",""checkOut"":""2023-10-13"",""adults"":""2"",""currencyCode"":""USD""}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'currencyCode': 'USD'}",1.0,,0,1.4152789115905762
mistral,ambiguous,I need a hotel for my husband and I in NYC. We'll be staying from today until next Friday.,full,"{""geoId"":""g60763"",""checkIn"":""2023-10-05"",""checkOut"":""2023-10-13"",""adults"":""2"",""rooms"":""1""}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'currencyCode': 'USD'}",0.8,,0,1.4281935691833496
mistral,vague,We need a hotel in New York for a few days.,full,"{""geoId"":""1343434"",""checkIn"":""2023-10-01"",""checkOut"":""2023-10-05"",""pageNumber"":""1""}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'currencyCode': 'USD'}",0.6,,0,1.3020586967468262
mistral,explicit,"Find a hotel in New York City (NYC). We need 2 rooms, each for one adult, who will be checking in on December 16 and checking out on December 20. Display prices in USD.",full,"{""geoId"":""g60763"",""checkIn"":""2023-12-16"",""checkOut"":""2023-12-20"",""adults"":""2"",""rooms"":""2"",""currencyCode"":""USD""}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'rooms': '2', 'currencyCode': 'USD'}",1.0,,0,2.4493279457092285
mistral,ambiguous,My coworker and I need a separate room for our business trip. We'll be in NYC from the 16th to the 20th.,full,"{""geoId"":""1345"",""checkIn"":""2023-10-16"",""checkOut"":""2023-10-20"",""rooms"":""2"",""adults"":""2""}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'rooms': '2', 'currencyCode': 'USD'}",0.8333333333333334,,0,1.4414780139923096
mistral,vague,We're looking for a place to stay in NYC for a work trip.,full,"{""geoId"":""13494134"",""checkIn"":""2023-10-01"",""checkOut"":""2023-10-05"",""adults"":""1"",""rooms"":""1""}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'rooms': '2', 'currencyCode': 'USD'}",0.8333333333333334,,0,1.446840763092041
mistral,explicit,Find news articles about climate change specifically in Ireland.,full,"{""query"":""climate change"",""region"":""IE""}","{'query': 'Climate Change', 'language': '', 'region': 'IE'}",0.6666666666666666,,0,8.142716884613037
mistral,ambiguous,I've heard about climate issues in Ireland. Any recent news?,full,"{""query"":""climate issues in Ireland"",""region"":""IE""}","{'query': 'Climate Change', 'language': '', 'region': 'IE'}",0.6666666666666666,,0,3.8669097423553467
mistral,vague,What’s happening to Ireland?,full,"{""query"":""Ireland"",""language"":""en"",""region"":""IE""}","{'query': 'Climate Change', 'language': '', 'region': 'IE'}",1.0,,0,0.9607248306274414
mistral,explicit,"Find hotels that have closed down in Boston, USA, and provide their names and contact email addresses.",full,"{""query"":""hotels Boston USA"",""limit"":""500"",""language"":""en"",""region"":""us"",""business_status"":""CLOSED"",""extract_emails_and_contacts"":""True"",""fields"":""business_id,name,email""}","{'query': 'Hotels in Boston, USA', 'business_status': 'CLOSED', 'extract_emails_and_contacts': True}",1.0,,0,1.5384612083435059
mistral,ambiguous,"I need to find the contact info of the hotel I stayed at in Boston, but I think it's closed down now.",full,"{""query"":""hotel Boston closed"",""limit"":""20"",""language"":""en"",""region"":""us"",""business_status"":""CLOSED_TEMPORARILY,CLOSED"",""extract_emails_and_contacts"":""True"",""fields"":""business_id,type,phone_number,full_address""}","{'query': 'Hotels in Boston, USA', 'business_status': 'CLOSED', 'extract_emails_and_contacts': True}",1.0,,0,2.0618040561676025
mistral,vague,Need info on a hotel in Boston that might not be open.,full,"{""query"":""hotel in Boston"",""limit"":""20"",""language"":""en"",""region"":""us"",""business_status"":""CLOSED""}","{'query': 'Hotels in Boston, USA', 'business_status': 'CLOSED', 'extract_emails_and_contacts': True}",0.6666666666666666,,0,1.2400321960449219
mistral,explicit,"Retrieve reviews for this business with id=0x89c259b5a9bd152b:0x31453e62a3be9f76, specifically for its location in Ireland.",full,"{""business_id"":""0x89c259b5a9bd152b:0x31453e62a3be9f76"",""region"":""ie"",""language"":""en""}","{'business_id': '0x89c259b5a9bd152b:0x31453e62a3be9f76', 'region': 'ie'}",1.0,,0,1.3392140865325928
mistral,ambiguous,I need to see what people are saying about this business with id=0x89c259b5a9bd152b:0x31453e62a3be9f76 in Ireland.,full,"{""business_id"":""0x89c259b5a9bd152b:0x31453e62a3be9f76"",""region"":""ie"",""language"":""en""}","{'business_id': '0x89c259b5a9bd152b:0x31453e62a3be9f76', 'region': 'ie'}",1.0,,0,1.5837554931640625
mistral,vague,What's going on with this business with id=0x89c259b5a9bd152b:0x31453e62a3be9f76 in Ireland?,full,"{""business_id"":""0x89c259b5a9bd152b:0x31453e62a3be9f76"",""region"":""ie"",""language"":""en""}","{'business_id': '0x89c259b5a9bd152b:0x31453e62a3be9f76', 'region': 'ie'}",1.0,,0,1.4313912391662598
mistral,explicit,Calculate 1.7777 minus 2.9057345 and round the result to five decimal places.,full,"{""numbers"":""1.7777-2.9057345"",""decimalPlaces"":""5""}","{'numbers': '1.7777, -, 2.9057345', 'decimalPlaces': '5'}",1.0,,0,0.9055607318878174
mistral,ambiguous,What’s 1.7777 - 2.9057345 rounded to five decimals?,full,"{""numbers"":""1.7777-2.9057345"",""decimalPlaces"":""5""}","{'numbers': '1.7777, -, 2.9057345', 'decimalPlaces': '5'}",1.0,,0,1.0340170860290527
mistral,vague,Solve 1.7777 - 2.9057345 with rounding.,full,"{""numbers"":""1.7777-2.9057345"",""decimalPlaces"":""2""}","{'numbers': '1.7777, -, 2.9057345', 'decimalPlaces': '5'}",1.0,,0,0.9684369564056396
mistral,explicit,Search for Tamagotchi toy in new condition that are on sale in the UK.,full,"{""q"":""Tamagotchi toy"",""country"":""gb"",""product_condition"":""NEW"",""on_sale"":""True""}","{'q': 'Tamagotchi', 'country': 'UK', 'product_condition': 'NEW', 'on_sale': True}",1.0,,0,0.9896647930145264
mistral,ambiguous,I want to buy a brand new Tamagotchi for my niece. Are there any on sale in the UK?,full,"{""q"":""Tamagotchi"",""country"":""gb"",""product_condition"":""NEW"",""on_sale"":""True""}","{'q': 'Tamagotchi', 'country': 'UK', 'product_condition': 'NEW', 'on_sale': True}",1.0,,0,0.9760036468505859
mistral,vague,I’m looking for a Tamagotchi in the UK.,full,"{""q"":""Tamagotchi"",""country"":""gb"",""language"":""en"",""page"":""1"",""limit"":""30"",""sort_by"":""BEST_MATCH"",""product_condition"":""ANY"",""min_rating"":""ANY""}","{'q': 'Tamagotchi', 'country': 'UK', 'product_condition': 'NEW', 'on_sale': True}",0.75,,0,1.363365888595581
mistral,explicit,Search for new Tamagotchi toy under $20.,full,"{""q"":""Tamagotchi toy"",""country"":""us"",""language"":""en"",""page"":""1"",""limit"":""30"",""sort_by"":""BEST_MATCH"",""max_price"":""20"",""product_condition"":""NEW"",""min_rating"":""ANY""}","{'q': 'Tamagotchi', 'max_price': '20', 'product_condition': 'NEW'}",1.0,,0,1.4860973358154297
mistral,ambiguous,"I want to buy a brand new Tamagotchi for my son, but my budget is $20.",full,"{""q"":""Tamagotchi"",""country"":""us"",""language"":""en"",""page"":""1"",""limit"":""30"",""sort_by"":""BEST_MATCH"",""min_price"":""0"",""max_price"":""20"",""product_condition"":""NEW"",""free_returns"":""False"",""free_shipping"":""False"",""max_shipping_days"":"""",""on_sale"":""False"",""store_id"":"""",""other_filters"":"""",""min_rating"":""ANY""}","{'q': 'Tamagotchi', 'max_price': '20', 'product_condition': 'NEW'}",1.0,,0,2.6282496452331543
mistral,vague,I need a Tamagotchi for my son that is not too expensive.,full,"{""q"":""Tamagotchi"",""sort_by"":""LOWEST_PRICE"",""min_rating"":""ANY"",""product_condition"":""ANY"",""free_shipping"":""True"",""free_returns"":""True"",""on_sale"":""True""}","{'q': 'Tamagotchi', 'max_price': '20', 'product_condition': 'NEW'}",0.6666666666666666,,0,2.264971971511841
mistral,explicit,Give me product reviews for product with ID=11577822456427762145 in the United States and translate the results to Spanish.,full,"{""product_id"":""11577822456427762145"",""country"":""us"",""language"":""es""}","{'product_id': '11577822456427762145', 'country': 'us', 'language': 'es'}",1.0,,0,1.1633436679840088
mistral,ambiguous,"Show me reviews for this productwith ID=11577822456427762145, but I speak Spanish.",full,"{""product_id"":""11577822456427762145"",""language"":""es""}","{'product_id': '11577822456427762145', 'country': 'us', 'language': 'es'}",0.6666666666666666,,0,0.9844551086425781
mistral,vague,Que piensa la gente sobre este producto con ID=11577822456427762145?,full,"{""product_id"":""11577822456427762145"",""limit"":""10"",""country"":""us"",""language"":""en""}","{'product_id': '11577822456427762145', 'country': 'us', 'language': 'es'}",1.0,,0,1.1919474601745605
mistral,explicit,Find product offers for product with ID=11577822456427762145 in the United States and translate the results to Spanish.,full,"{""product_id"":""11577822456427762145"",""page"":""1"",""country"":""us"",""language"":""es""}","{'product_id': '11577822456427762145', 'country': 'us', 'language': 'es'}",1.0,,0,1.7425057888031006
mistral,ambiguous,I'm looking for offers on product with ID=11577822456427762145. I'm from the US but want to send the offers to my mom who speaks Spanish.,full,"{""product_id"":""11577822456427762145"",""page"":""1"",""country"":""us"",""language"":""es""}","{'product_id': '11577822456427762145', 'country': 'us', 'language': 'es'}",1.0,,0,1.2369492053985596
mistral,vague,Show me the best deals for this product with ID=11577822456427762145 but I can't speak English.,full,"{""product_id"":""11577822456427762145"",""language"":""es""}","{'product_id': '11577822456427762145', 'country': 'us', 'language': 'es'}",0.6666666666666666,,0,1.1260976791381836
mistral,explicit,"Provide details for product with ID=11577822456427762145 available in Korea, and translate the results to English.",full,"{""q"":""11577822456427762145"",""country"":""us"",""language"":""en""}","{'product_id': '11577822456427762145', 'country': 'kr', 'language': 'en'}",0.6666666666666666,,0,1.328263759613037
mistral,ambiguous,Can you tell me about product ID=11577822456427762145 available in Korea? I can only speak English though.,full,"{""q"":""11577822456427762145"",""country"":""gb"",""language"":""en""}","{'product_id': '11577822456427762145', 'country': 'kr', 'language': 'en'}",0.6666666666666666,,0,1.142808198928833
mistral,vague,I want to know more about this product with ID=11577822456427762145 in Korea.,full,"{""q"":""11577822456427762145"",""country"":""kr"",""language"":""en"",""page"":""1"",""limit"":""30"",""sort_by"":""BEST_MATCH"",""product_condition"":""ANY"",""free_returns"":""false"",""free_shipping"":""false"",""on_sale"":""false"",""min_rating"":""ANY""}","{'product_id': '11577822456427762145', 'country': 'kr', 'language': 'en'}",0.6666666666666666,,0,1.950659990310669
mistral,explicit,I need the weather forecast in Paris for this week. Include information about high tides as well.,full,"{""q"":""Paris"",""days"":""7"",""tides"":""yes""}","{'q': 'Paris', 'days': '7', 'tides': 'yes'}",1.0,,0,0.7324445247650146
mistral,ambiguous,I'm in Paris for the week and want to visit the beach. What does the weather look like this week and should I worry about high tides?,full,"{""q"":""Paris"",""days"":""7"",""aqi"":""yes"",""tides"":""yes""}","{'q': 'Paris', 'days': '7', 'tides': 'yes'}",1.0,,0,0.9392862319946289
mistral,vague,Is it a good time to go to the beach in Paris this week?,full,"{""q"":""Paris"",""days"":""7"",""aqi"":""yes""}","{'q': 'Paris', 'days': '7', 'tides': 'yes'}",0.6666666666666666,,0,0.7806346416473389
mistral,explicit,I’m planning to visit Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York in NYC. Please display the prices in SEK (Swedish Krona).,full,"{""restaurantsId"":""Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York"",""currencyCode"":""SEK""}","{'restaurantsId': 'Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York', 'currencyCode': 'SEK'}",1.0,,0,1.8576030731201172
mistral,ambiguous,I want to visit Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York but I'm from Sweden so I don't know how much the prices are.,full,"{""restaurantsId"":""d12425739"",""currencyCode"":""SEK""}","{'restaurantsId': 'Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York', 'currencyCode': 'SEK'}",1.0,,0,1.4215826988220215
mistral,vague,Give me details about Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.,full,"{""restaurantsId"":""Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York""}","{'restaurantsId': 'Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York', 'currencyCode': 'SEK'}",0.5,,0,1.6863465309143066
mistral,explicit,Give me the date of when artist with ID 2uFUBdaVGtyMqckSeCl0Qj released their album Experience.,full,"{""artistId"":""2uFUBdaVGtyMqckSeCl0Qj"",""type"":""album""}","{'artistId': '2uFUBdaVGtyMqckSeCl0Qj', 'type': 'album'}",1.0,,0,1.4681775569915771
mistral,ambiguous,When did artist with ID=2uFUBdaVGtyMqckSeCl0Qj come out with his album Experience?,full,"{""artistId"":""2uFUBdaVGtyMqckSeCl0Qj"",""type"":""album""}","{'artistId': '2uFUBdaVGtyMqckSeCl0Qj', 'type': 'album'}",1.0,,0,0.89656662940979
mistral,vague,When did this artist with ID=2uFUBdaVGtyMqckSeCl0Qj release Experience?,full,"{""artistId"":""2uFUBdaVGtyMqckSeCl0Qj"",""type"":""album"",""offset"":""0"",""limit"":""50""}","{'artistId': '2uFUBdaVGtyMqckSeCl0Qj', 'type': 'album'}",1.0,,0,1.204364538192749
mistral,explicit,When did artist with ID=2uFUBdaVGtyMqckSeCl0Qj release their single Night?,full,"{""artistId"":""2uFUBdaVGtyMqckSeCl0Qj"",""type"":""single""}","{'artistId': '2uFUBdaVGtyMqckSeCl0Qj', 'type': 'single'}",1.0,,0,0.9037318229675293
mistral,ambiguous,When did artist with ID=2uFUBdaVGtyMqckSeCl0Qj come out with his song Night?,full,"{""artistId"":""2uFUBdaVGtyMqckSeCl0Qj"",""type"":""single""}","{'artistId': '2uFUBdaVGtyMqckSeCl0Qj', 'type': 'single'}",1.0,,0,2.047626256942749
mistral,vague,When did this artist with ID=2uFUBdaVGtyMqckSeCl0Qj release Night?,full,"{""artistId"":""2uFUBdaVGtyMqckSeCl0Qj"",""type"":""album"",""offset"":""0"",""limit"":""50""}","{'artistId': '2uFUBdaVGtyMqckSeCl0Qj', 'type': 'single'}",1.0,,0,1.0783195495605469
mistral,explicit,Give me the date that user sparklemilktea joined Instagram.,full,"{""username_or_id_or_url"":""sparklemilktea"",""include_about"":""True""}","{'username_or_id_or_url': 'sparklemilktea', 'include_about': 'true'}",1.0,,0,1.381115436553955
mistral,ambiguous,When did sparklemilktea join Instagram?,full,"{""username_or_id_or_url"":""sparklemilktea"",""include_about"":""True""}","{'username_or_id_or_url': 'sparklemilktea', 'include_about': 'true'}",1.0,,0,1.4667866230010986
mistral,vague,When did sparklemilktea start using Instagram?,full,"{""username_or_id_or_url"":""sparklemilktea"",""include_about"":""True""}","{'username_or_id_or_url': 'sparklemilktea', 'include_about': 'true'}",1.0,,0,1.178403615951538
mistral,explicit,Give me at least 20 followers of the user sparklemilktea.,full,"{""username_or_id_or_url"":""sparklemilktea"",""amount"":""20""}","{'username_or_id_or_url': 'sparklemilktea', 'amount': '20'}",1.0,,0,0.8400814533233643
mistral,ambiguous,Can you tell me the top 20 followers of sparklemilktea?,full,"{""username_or_id_or_url"":""sparklemilktea"",""amount"":""20""}","{'username_or_id_or_url': 'sparklemilktea', 'amount': '20'}",1.0,,0,1.0985896587371826
mistral,vague,Who are some followers of sparklemilktea?,full,"{""username_or_id_or_url"":""sparklemilktea""}","{'username_or_id_or_url': 'sparklemilktea', 'amount': '20'}",0.5,,0,1.3401596546173096
mistral,explicit,Give me at least 20 people that the user sparklemilktea follows.,full,"{""username_or_id_or_url"":""sparklemilktea"",""amount"":""20""}","{'username_or_id_or_url': 'sparklemilktea', 'amount': '20'}",1.0,,0,0.9088690280914307
mistral,ambiguous,Can you tell me the top 20 people who sparklemilktea follows?,full,"{""username_or_id_or_url"":""sparklemilktea"",""amount"":""20""}","{'username_or_id_or_url': 'sparklemilktea', 'amount': '20'}",1.0,,0,1.075204849243164
mistral,vague,Can you list some people who sparklemilktea follows?,full,"{""username_or_id_or_url"":""sparklemilktea"",""amount"":""50""}","{'username_or_id_or_url': 'sparklemilktea', 'amount': '20'}",1.0,,0,0.8583970069885254
mistral,explicit,Show me posts by kiyomi_bori and provide the HTML code to embed them.,full,"{""username_or_id_or_url"":""kiyomi_bori"",""url_embed_safe"":""true""}","{'username_or_id_or_url': 'kiyomi_bori', 'url_embed_safe': 'true'}",1.0,,0,1.0684318542480469
mistral,ambiguous,Can you get posts by kiyomi_bori and make them embeddable for my website?,full,"{""username_or_id_or_url"":""kiyomi_bori"",""url_embed_safe"":""true""}","{'username_or_id_or_url': 'kiyomi_bori', 'url_embed_safe': 'true'}",1.0,,0,8.15084171295166
mistral,vague,I want to see posts by kiyomi_bori to put on my website.,full,"{""username_or_id_or_url"":""kiyomi_bori"",""url_embed_safe"":""true""}","{'username_or_id_or_url': 'kiyomi_bori', 'url_embed_safe': 'true'}",1.0,,0,0.9181833267211914
mistral,explicit,Search for the user kiyomi_bori and provide an embeddable profile link.,full,"{""search_query"":""kiyomi_bori"",""url_embed_safe"":""True""}","{'search_query': 'kiyomi_bori', 'url_embed_safe': 'true'}",1.0,,0,0.8003170490264893
mistral,ambiguous,Find kiyomi_bori's profile so I can embed it.,full,"{""search_query"":""kiyomi_bori"",""url_embed_safe"":""True""}","{'search_query': 'kiyomi_bori', 'url_embed_safe': 'true'}",1.0,,0,0.7929098606109619
mistral,vague,I want to see kiyomi_bori to put on my website.,full,"{""search_query"":""kiyomi_bori"",""url_embed_safe"":""True""}","{'search_query': 'kiyomi_bori', 'url_embed_safe': 'true'}",1.0,,0,0.8881134986877441
